month,pe
1991,4.46656246286458
1991.08333333333,4.50104205964004
1991.16666666667,4.11208196026389
1991.25,4.1111211882092
1991.33333333333,4.18287091439382
1991.41666666667,4.3664525511664
1991.5,4.48123109985012
1991.58333333333,4.72245372079249
1991.66666666667,4.82803160190576
1991.75,5.01874035812164
1991.83333333333,5.18611842987907
1991.91666666667,4.17084214158785
1992,4.34698345444672
1992.08333333333,4.53829560920577
1992.16666666667,4.65762991957778
1992.25,4.5544426916894
1992.33333333333,4.88452498386244
1992.41666666667,4.7344611161965
1992.5,4.7821098702995
1992.58333333333,4.64284533118399
1992.66666666667,4.56437273478344
1992.75,4.35750096048082
1992.83333333333,4.43973104880627
1992.91666666667,4.50701999164528
1993,4.68554148617572
1993.08333333333,4.80875546446731
1993.16666666667,4.50730468602071
1993.25,4.70954680687597
1993.33333333333,4.4716242759417
1993.41666666667,4.49759699004712
1993.5,4.42821262989271
1993.58333333333,4.52399282973384
1993.66666666667,4.52705625986017
1993.75,4.53192428687499
1993.83333333333,4.6521885749599
1993.91666666667,4.64315165338888
1994,4.46027739612785
1994.08333333333,4.24031322130559
1994.16666666667,3.59049655466256
1994.25,2.92708279119472
1994.33333333333,2.89633411496695
1994.41666666667,2.74516939551469
1994.5,2.52323612418951
1994.58333333333,3.12663520808767
1994.66666666667,3.17039668489872
1994.75,2.93823240054753
1994.83333333333,2.96293325820417
1994.91666666667,2.90009071818
1995,2.7633148366043
1995.08333333333,2.74189568075101
1995.16666666667,2.84448288439357
1995.25,2.60379430609933
1995.33333333333,2.74688315808818
1995.41666666667,2.65514331626675
1995.5,2.71390216756441
1995.58333333333,2.76006780769116
1995.66666666667,2.77762890717315
1995.75,2.78735598137632
1995.83333333333,2.68760036601942
1995.91666666667,2.57288566058694
1996,2.53768813936948
1996.08333333333,2.57060197776538
1996.16666666667,2.5654805228892
1996.25,3.01060210790715
1996.33333333333,3.02134366288908
1996.41666666667,3.21784885370319
1996.5,3.36840276857258
1996.58333333333,3.38243160028259
1996.66666666667,3.44007527968975
1996.75,3.65054449915181
1996.83333333333,3.73588400974512
1996.91666666667,3.52233295335707
1997,3.58786262188277
1997.08333333333,3.61115612875825
1997.16666666667,3.75650028932097
1997.25,3.86050600987117
1997.33333333333,3.77907151856304
1997.41666666667,3.79944037987474
1997.5,3.73510017907169
1997.58333333333,3.72787451831399
1997.66666666667,3.60333926384578
1997.75,3.72892785334309
1997.83333333333,3.6801015396301
1997.91666666667,3.72101197955044
1998,3.74157135097559
1998.08333333333,3.67470898611387
1998.16666666667,3.55942647068652
1998.25,3.63472734765526
1998.33333333333,3.68066967498885
1998.41666666667,3.61579703096105
1998.5,3.60202468190273
1998.58333333333,3.47272462394721
1998.66666666667,3.54495311815733
1998.75,3.53229145231
1998.83333333333,3.55437165860674
1998.91666666667,3.46938721483751
1999,3.45200855542171
1999.08333333333,3.40065028852736
1999.16666666667,3.3916990007151
1999.25,3.36638465782609
1999.33333333333,3.47939761910179
1999.41666666667,3.79460791694833
1999.5,3.72060766286206
1999.58333333333,3.72994219302489
1999.66666666667,3.70320951176697
1999.75,3.6516678335109
1999.83333333333,3.60621552947056
1999.91666666667,3.5599130626549
2000,3.69792600811935
2000.08333333333,3.79086142484621
2000.16666666667,3.82255457988621
2000.25,3.89132787779157
2000.33333333333,3.9185490138432
2000.41666666667,3.94162987692013
2000.5,3.98071817546258
2000.58333333333,3.97018788405213
2000.66666666667,3.92008499380224
2000.75,3.94264272990759
2000.83333333333,3.99791126524673
2000.91666666667,3.99601511233686
2001,3.9818321443586
2001.08333333333,3.88505623650036
2001.16666666667,3.92628017302782
2001.25,3.93233668283778
2001.33333333333,3.95498297057457
2001.41666666667,3.95458307630868
2001.5,3.80923744844958
2001.58333333333,3.77234456679769
2001.66666666667,3.7228029650391
2001.75,3.67422348408436
2001.83333333333,3.71181994347953
2001.91666666667,3.65123084319862
2002,3.53661670017173
2002.08333333333,3.56066519229246
2002.16666666667,3.6582751909798
2002.25,3.77500111073931
2002.33333333333,3.68120013703196
2002.41666666667,3.8024095346595
2002.5,3.75892488226363
2002.58333333333,3.76541245717098
2002.66666666667,3.7109241466191
2002.75,3.65664667609017
2002.83333333333,3.59552232752599
2002.91666666667,3.54754404291778
2003,3.62283446468094
2003.08333333333,3.61357631385361
2003.16666666667,3.58925121620548
2003.25,3.58763960603029
2003.33333333333,3.54920561904036
2003.41666666667,3.476965256285
2003.5,3.44813045182936
2003.58333333333,3.40686484418371
2003.66666666667,3.36055145030102
2003.75,3.26974400463926
2003.83333333333,3.29265827656525
2003.91666666667,3.32103150594707
2004,3.38426035789231
2004.08333333333,3.44719562638327
2004.16666666667,3.47207435039656
2004.25,3.29932007043498
2004.33333333333,3.27413865375566
2004.41666666667,3.15106129000236
2004.5,3.13823203468923
2004.58333333333,3.0288931711328
2004.66666666667,3.08308241907118
2004.75,2.9560350260937
2004.83333333333,2.97561686584186
2004.91666666667,2.91251796951504
2005,2.85669327506134
2005.08333333333,2.93907745795916
2005.16666666667,2.83724391573858
2005.25,2.73724427893435
2005.33333333333,2.66021976310561
2005.41666666667,2.66718240122982
2005.5,2.6473371714261
2005.58333333333,2.71470357767137
2005.66666666667,2.71964794046978
2005.75,2.64508214778001
2005.83333333333,2.61893618525923
2005.91666666667,2.65599819136941
2006,2.73961911620841
2006.08333333333,2.7602944287196
2006.16666666667,2.76767734530606
2006.25,2.89932952550579
2006.33333333333,3.05054524674272
2006.41666666667,3.08913870205847
2006.5,3.01059827389474
2006.58333333333,2.98572552497145
