month,MarketR,rfmonth,ret,cpi,RV,RV1,RV2,RV3,var,pd,pe,pb,marketret3,marketret6,marketret12
2013-06-30,-0.134305,0.002466,-0.136771,2.6684,0.006122224964,0.008003859710000002,0.011956208028000001,0.013161884458000001,0.000305722486117647,10.7872214527856,2.40088173988345,0.324084271272085,-0.0708086602152521,-0.0159957140204915,-0.0946360753058327
2013-07-31,0.02757,0.002466,0.025104,2.6741,0.004723122776000001,0.006127540352000001,0.003755340916000001,0.002074111456000001,0.00021312890340711464,10.7352908950724,2.38066644032536,0.334287856304325,0.119937117456642,0.0913976021645773,0.0781835170581591
2013-08-31,0.052886,0.002466,0.05042,2.5666,0.0019982721400000005,0.0023694747140000005,0.0024298383360000005,0.0011477708060000007,8.943951294372295e-05,10.7905739435133,2.40453494199074,0.383798425699893,0.0682063678420985,0.0358513381821974,0.139180501785439
2013-09-30,0.041999,0.002466,0.039533,3.0519,0.002244354915,0.003184861469,0.002428704681,0.001975812419,0.00011966051083040933,10.8294901139748,2.44557005808692,0.423192454510968,0.0590835282821514,-0.0048205503948022,0.0998894522278082
2013-10-31,-0.019582,0.002466,-0.022048,3.2058,0.0022991971090000002,0.0026699204010000002,0.0025570478630000002,0.0006756504229999997,0.00013388462115359478,10.8152984223131,2.38996413915095,0.373777623064794,-0.0261045033288961,-0.0642265037897243,0.14048731898135
2013-11-30,0.043956,0.002466,0.04149,3.018,0.002086167549,0.002995554807,0.002946246439,0.002225959795,9.995602024761905e-05,10.8637149527377,2.4327883494792,0.418961304463949,-0.030550552683672,-0.0508637754082359,0.190378820421831
2013-12-31,-0.041232,0.002466,-0.043698,2.4987,0.0021041027919999995,0.0016205884399999996,0.0011407774119999996,0.0015519146379999998,9.614765776623376e-05,10.8328160862896,2.40285784619514,0.382411024462186,-0.0603303049782739,-0.0784892062481628,0.248519219284662
2014-01-31,-0.024024,0.002466,-0.02649,2.4861,0.001869945345,0.002506594039,0.0017489735489999998,0.0009266762489999997,9.198178524761906e-05,10.8154160481969,2.38203796743245,0.36143651566641,-0.0386507167763792,-0.0131745137613211,0.50587908871484
2014-02-28,0.012131,0.002466,0.009665,1.9511,0.002175798341,0.003115435289,0.003742649259,0.003901954173,0.00014447551179583334,10.8277601329237,2.39199570968686,0.37227885618469,-0.0205623473224418,0.0978315645036485,0.563740281364207
2014-03-31,-0.019285,0.002466,-0.021751,2.3848,0.002774270559,0.002326519455,0.0018707611989999997,0.0011009680889999996,0.00013777377154761906,10.815108412813,2.36454495036494,0.334700280303843,-0.0187010229322496,0.103737447151479,0.615784311766595
