month,to_v,to_m
1990.91666666667,0.00940258555464507,0.00975381414449784
1991,0.0126226950268977,0.0318991849709665
1991.08333333333,0.0429944425793432,0.0464955171868028
1991.16666666667,0.00647128191253034,0.016755498381471
1991.25,0.0144300587873545,0.0266912048109996
1991.33333333333,0.0396983712521137,0.0397747175796885
1991.41666666667,0.0298298170294098,0.0322122561615963
1991.5,0.0982275757398431,0.0857720032592435
1991.58333333333,0.0843007766871219,0.0799191415290108
1991.66666666667,0.115428826640658,0.165729528684152
1991.75,0.299832046217626,0.23489308993541
1991.83333333333,0.419019521376795,0.312179260270289
1991.91666666667,0.19129275422473,0.125071062478866
1992,0.13656177654369,0.0945371247721194
1992.08333333333,0.0880889565138902,0.0838195977267835
1992.16666666667,0.188515351162787,0.17514478173684
1992.25,0.366688479884232,0.330895607989653
1992.33333333333,0.405065159953851,0.396254595268489
1992.41666666667,0.351049308164905,0.301921296751562
1992.5,0.399793155896481,0.334912310865066
1992.58333333333,0.242183794366204,0.202248146291092
1992.66666666667,0.234519149910092,0.218143718823112
1992.75,0.177727326388194,0.185897145957128
1992.83333333333,0.327751442350967,0.299895880935208
1992.91666666667,0.625381316817608,0.521468510711808
1993,0.901069389316885,0.768579374180244
1993.08333333333,1.27464393479957,1.14814704963357
1993.16666666667,0.791646355363689,0.733243913513465
1993.25,0.968913938574195,0.894131734641972
1993.33333333333,0.441033931081754,0.448513993656218
1993.41666666667,0.426733920809212,0.46322844292192
1993.5,0.344469977997588,0.335561448446984
1993.58333333333,0.783883350080698,0.756380075997888
1993.66666666667,0.253267701486495,0.240275586057886
1993.75,0.419497429260845,0.512047335976849
1993.83333333333,0.787223198202877,0.86639339929023
1993.91666666667,0.645006878971536,0.732387562182094
1994,0.416409432147691,0.417453260246983
1994.08333333333,0.308872008531229,0.332840761572311
1994.16666666667,0.728412652395781,0.896562746649997
1994.25,0.596444178271775,0.667565994306762
1994.33333333333,0.522699564967722,0.586438612592468
1994.41666666667,0.213211053802565,0.234677453699938
1994.5,0.190140642327117,0.220879711264489
1994.58333333333,2.22551602928821,2.39456483996301
1994.66666666667,1.89712171448868,2.06555521347191
1994.75,0.782562402524239,0.93760812506233
1994.83333333333,0.301012556624735,0.422051384956322
1994.91666666667,0.25489574893733,0.34669545857117
1995,0.083687635550761,0.0978492556803212
1995.08333333333,0.0925097995385346,0.112871756686608
1995.16666666667,0.297878470543438,0.395946028264721
1995.25,0.268714240069027,0.329272935295745
1995.33333333333,0.592373333650129,0.727931585400472
1995.41666666667,0.220974625814283,0.238703236544827
1995.5,0.497576771446541,0.45454612888514
1995.58333333333,0.85177172100859,0.760490667722314
1995.66666666667,0.449704764042874,0.420300879918623
1995.75,0.531364715348154,0.540677317802154
1995.83333333333,0.245509830062948,0.258228901599463
1995.91666666667,0.133263959338529,0.148767539502701
1996,0.156985445697291,0.158435191446401
1996.08333333333,0.0673215011583645,0.0747843973160649
1996.16666666667,0.203160147838331,0.23087290032337
1996.25,0.694466380152163,0.728558746045655
1996.33333333333,0.819472765488356,0.835692012876863
1996.41666666667,1.1080158489994,1.20339677255609
1996.5,1.48742407948576,1.48185461477877
1996.58333333333,0.827750555317922,0.852774201409025
1996.66666666667,0.886214035046982,0.935980822404062
1996.75,1.81428544655333,1.64994838719523
1996.83333333333,1.372117192002,1.36956334224674
1996.91666666667,1.36666367962049,1.32493267284817
1997,0.639511512857431,0.651954489520281
1997.08333333333,0.512785031652734,0.500156011042897
1997.16666666667,1.21303584655261,1.22624553645283
1997.25,1.23315059128077,1.24550751861192
1997.33333333333,0.934171589569564,1.00499864835488
1997.41666666667,0.609106156195442,0.694294845804994
1997.5,0.483542816224524,0.541026310053307
1997.58333333333,0.417721598477161,0.395201050718749
1997.66666666667,0.399991041365702,0.354573186717229
1997.75,0.412081482076946,0.444217804988253
1997.83333333333,0.313509211685296,0.329935622311204
1997.91666666667,0.300997300780265,0.329317554522912
1998,0.312192625999212,0.336405652661647
1998.08333333333,0.221196061815309,0.222007407459363
1998.16666666667,0.311633557518483,0.332680121583259
1998.25,0.634869156692632,0.626920224988333
1998.33333333333,0.544822445214545,0.530928687129982
1998.41666666667,0.403562296618143,0.413346624029556
1998.5,0.265906919453862,0.280789820981412
1998.58333333333,0.245079550964686,0.261450538473895
1998.66666666667,0.343141642452006,0.361027525360114
1998.75,0.284240150542893,0.305123387185081
1998.83333333333,0.315804324082225,0.351262080569923
1998.91666666667,0.157640378013199,0.169645714898316
1999,0.172796379196551,0.179773444585441
1999.08333333333,0.0511735840666933,0.0538028821444903
1999.16666666667,0.272661103607763,0.279870483046525
1999.25,0.329349885291486,0.317217276614635
1999.33333333333,0.402818642031479,0.427276607607678
1999.41666666667,1.17526990343758,1.19006304386095
1999.5,0.585068836379501,0.616809731009916
1999.58333333333,0.415895841295603,0.401063528448683
1999.66666666667,0.276086265686993,0.288092209099798
1999.75,0.115842573043411,0.127068239608458
1999.83333333333,0.151522000710821,0.171746826871031
1999.91666666667,0.139845751602591,0.162588320929292
2000,0.401451367452829,0.47145828738463
2000.08333333333,0.545614111275726,0.614963552731517
2000.16666666667,0.784617815333077,0.786344727188903
2000.25,0.535430453786952,0.497627174954365
2000.33333333333,0.378142473258635,0.362939191385932
2000.41666666667,0.537276369357797,0.482179514097454
2000.5,0.424626500738323,0.385559705644868
2000.58333333333,0.46383969214849,0.432778365688388
2000.66666666667,0.222966891105712,0.217300398686535
2000.75,0.174261902799548,0.182344513537335
2000.83333333333,0.33341085742619,0.333554322131715
2000.91666666667,0.230647522061158,0.239001325193077
