month,pb
1990.91666666667,1.88656768793782
1991,2.08006462952467
1991.08333333333,1.94928456811966
1991.16666666667,1.56032446874351
1991.25,1.97033006042602
1991.33333333333,1.90110090028198
1991.41666666667,1.88968729437795
1991.5,1.8577618972057
1991.58333333333,1.9547254698123
1991.66666666667,2.00039332962681
1991.75,2.38986214702525
1991.83333333333,2.48454583482307
1991.91666666667,2.20781354438338
1992,2.33806613706782
1992.08333333333,2.49283891870584
1992.16666666667,2.64682994554829
1992.25,2.38425442281655
1992.33333333333,2.67982588378189
1992.41666666667,2.5580122792952
1992.5,2.63126645878056
1992.58333333333,2.51040387597825
1992.66666666667,2.48955568040299
1992.75,2.32041984784521
1992.83333333333,2.35189369348063
1992.91666666667,2.30045576238953
1993,2.48893264164491
1993.08333333333,2.69468914253516
1993.16666666667,2.31014149656326
1993.25,2.36088680998399
1993.33333333333,2.16610432369528
1993.41666666667,2.14623773556759
1993.5,2.06663187994036
1993.58333333333,2.1253013199399
1993.66666666667,2.10334614989519
1993.75,2.07340053668937
1993.83333333333,2.17156685311158
1993.91666666667,2.12720986752505
1994,1.92304618078714
1994.08333333333,1.86718019519799
1994.16666666667,1.39049135849631
1994.25,0.946438391932938
1994.33333333333,0.876506187801772
1994.41666666667,0.69424283604524
1994.5,0.406611648847335
1994.58333333333,1.11779302933252
1994.66666666667,1.17900302120207
1994.75,0.960613246581202
1994.83333333333,0.986692670679737
1994.91666666667,0.931139028477733
1995,0.804480393281921
1995.08333333333,0.783695579546876
1995.16666666667,0.866199517232451
1995.25,0.614428997402689
1995.33333333333,0.760117410043209
1995.41666666667,0.667671740375694
1995.5,0.73173524948415
1995.58333333333,0.741033395986314
1995.66666666667,0.732792031648475
1995.75,0.748087871630567
1995.83333333333,0.671712684117046
1995.91666666667,0.55655590075367
1996,0.519954172064625
1996.08333333333,0.553395496266544
1996.16666666667,0.560127625093747
1996.25,0.843543523974343
1996.33333333333,0.841005515593258
1996.41666666667,1.03394003255672
1996.5,1.18124132740175
1996.58333333333,1.14367437499997
1996.66666666667,1.20413622945999
1996.75,1.41067392246853
1996.83333333333,1.50236383985511
1996.91666666667,1.29670280173512
1997,1.38601204551631
1997.08333333333,1.43403120942728
1997.16666666667,1.61783278060606
1997.25,1.71831598740091
1997.33333333333,1.63644757600279
1997.41666666667,1.65524642308553
1997.5,1.58441982537505
1997.58333333333,1.47896084924359
1997.66666666667,1.36111183111521
1997.75,1.49350722375836
1997.83333333333,1.4451446594923
1997.91666666667,1.49634432852012
1998,1.5209727020004
1998.08333333333,1.48798625850913
1998.16666666667,1.44631081590489
1998.25,1.50592152254887
1998.33333333333,1.55845504245392
1998.41666666667,1.4929437725461
1998.5,1.46509133469253
1998.58333333333,1.28223117566697
1998.66666666667,1.35818498039878
1998.75,1.34784037978002
1998.83333333333,1.3715730418191
1998.91666666667,1.28818536986381
1999,1.2791045079822
1999.08333333333,1.23257327974458
1999.16666666667,1.25752416680303
1999.25,1.17845353356883
1999.33333333333,1.29066187381584
1999.41666666667,1.60480457964774
1999.5,1.5132499685024
1999.58333333333,1.47190005219276
1999.66666666667,1.45502909072515
1999.75,1.40638411351295
1999.83333333333,1.36254134429134
1999.91666666667,1.31719623540384
2000,1.46780477683276
2000.08333333333,1.58083195133321
2000.16666666667,1.61064990803769
2000.25,1.61098331985667
2000.33333333333,1.63801515678923
2000.41666666667,1.66079919312662
2000.5,1.67265723065463
2000.58333333333,1.61997538431866
2000.66666666667,1.57327204800841
2000.75,1.60047194650962
2000.83333333333,1.65762559496699
2000.91666666667,1.66338522464191
2001,1.65261570245272
2001.08333333333,1.58259860172466
2001.16666666667,1.60013820063946
2001.25,1.57788213405065
2001.33333333333,1.60086548934764
2001.41666666667,1.60013344342476
2001.5,1.43443267903593
2001.58333333333,1.35382140906087
2001.66666666667,1.30492967656464
2001.75,1.2558811038046
2001.83333333333,1.29334712250002
2001.91666666667,1.23269687397747
2002,1.12042904909045
2002.08333333333,1.14532046815395
2002.16666666667,1.19660438571131
2002.25,1.22584813862642
2002.33333333333,1.12498036497157
2002.41666666667,1.24869494028047
2002.5,1.19992505711747
2002.58333333333,1.18748826894923
2002.66666666667,1.13424922534559
2002.75,1.03963879474996
2002.83333333333,0.978957517956808
2002.91666666667,0.928169375049067
2003,1.01970125894311
2003.08333333333,1.03056854501696
2003.16666666667,1.01549331724126
2003.25,0.992468815997492
2003.33333333333,1.02841266833483
2003.41666666667,0.956099620253242
2003.5,0.939287880854262
2003.58333333333,0.895511162649745
2003.66666666667,0.850680550642386
2003.75,0.753683657965113
2003.83333333333,0.777119551208567
2003.91666666667,0.807457005958447
2004,0.881026439354757
2004.08333333333,0.939534286814149
2004.16666666667,0.969492451198205
2004.25,0.865271929972872
2004.33333333333,0.842334762856764
2004.41666666667,0.719581842039619
2004.5,0.716087479526811
2004.58333333333,0.663600496019254
2004.66666666667,0.717067207185203
2004.75,0.637322469146476
2004.83333333333,0.661216460584121
2004.91666666667,0.591157807220403
2005,0.529942085515241
2005.08333333333,0.616724708696963
2005.16666666667,0.492674608892011
2005.25,0.449242919210188
2005.33333333333,0.380804808047802
2005.41666666667,0.386486262645584
2005.5,0.365092911304663
2005.58333333333,0.421377551214515
2005.66666666667,0.425041852888589
2005.75,0.343836079015803
2005.83333333333,0.328604002013113
2005.91666666667,0.365482136713929
2006,0.444904413350236
2006.08333333333,0.459517164977625
2006.16666666667,0.435637624611545
2006.25,0.496570458297189
2006.33333333333,0.653652509073695
2006.41666666667,0.677091633453141
2006.5,0.605573295506599
