"Goldtype","Trddt","Clsprcd"
"PT9995","2009-09-18","305.28"
"AU(T+D)","2009-09-21","219.90"
"AU(T+N2)","2009-09-21","220.30"
"AU100G","2009-09-21","220.35"
"AU9995","2009-09-21","219.89"
"AU9999","2009-09-21","220.16"
"PT9995","2009-09-21","303.83"
"AU(T+D)","2009-09-22","222.00"
"AU(T+N2)","2009-09-22","220.70"
"AU100G","2009-09-22","222.00"
"AU9995","2009-09-22","222.07"
"AU9999","2009-09-22","222.16"
"PT9995","2009-09-22","303.50"
"AU(T+D)","2009-09-23","222.61"
"AU(T+N2)","2009-09-23","223.20"
"AU100G","2009-09-23","222.83"
"AU9995","2009-09-23","222.93"
"AU9999","2009-09-23","222.87"
"PT9995","2009-09-23","305.59"
"AU(T+D)","2009-09-24","222.43"
"AU(T+N2)","2009-09-24","221.70"
"AU100G","2009-09-24","222.75"
"AU50G","2009-09-24","223.90"
"AU9995","2009-09-24","222.41"
"AU9999","2009-09-24","222.78"
"PT9995","2009-09-24","304.32"
"AU(T+D)","2009-09-25","218.45"
"AU(T+N1)","2009-09-25","219.00"
"AU(T+N2)","2009-09-25","218.70"
"AU100G","2009-09-25","219.02"
"AU50G","2009-09-25","220.30"
"AU9995","2009-09-25","218.68"
"AU9999","2009-09-25","218.86"
"PT9995","2009-09-25","297.71"
"AU(T+D)","2009-09-28","217.20"
"AU(T+N1)","2009-09-28","217.80"
"AU(T+N2)","2009-09-28","218.55"
"AU100G","2009-09-28","217.87"
"AU9995","2009-09-28","217.19"
"AU9999","2009-09-28","217.43"
"PT9995","2009-09-28","293.50"
"AU(T+D)","2009-09-29","217.98"
"AU(T+N2)","2009-09-29","217.80"
"AU100G","2009-09-29","218.88"
"AU9995","2009-09-29","218.06"
"AU9999","2009-09-29","218.33"
"PT9995","2009-09-29","293.04"
"AU(T+D)","2009-09-30","219.06"
"AU(T+N2)","2009-09-30","218.70"
"AU100G","2009-09-30","219.55"
"AU9995","2009-09-30","219.00"
"AU9999","2009-09-30","219.71"
"PT9995","2009-09-30","294.00"
"AU(T+D)","2009-10-09","229.00"
"AU(T+N1)","2009-10-09","229.40"
"AU100G","2009-10-09","228.95"
"AU9995","2009-10-09","228.97"
"AU9999","2009-10-09","229.00"
"PT9995","2009-10-09","305.00"
"AU(T+D)","2009-10-12","229.93"
"AU(T+N1)","2009-10-12","229.80"
"AU100G","2009-10-12","229.86"
"AU9995","2009-10-12","229.98"
"AU9999","2009-10-12","229.92"
"PT9995","2009-10-12","306.00"
"AU(T+D)","2009-10-13","231.12"
"AU(T+N1)","2009-10-13","230.90"
"AU100G","2009-10-13","231.29"
"AU9995","2009-10-13","231.26"
"AU9999","2009-10-13","231.30"
"PT9995","2009-10-13","307.81"
"AU(T+D)","2009-10-14","234.31"
"AU(T+N1)","2009-10-14","234.16"
"AU100G","2009-10-14","234.16"
"AU9995","2009-10-14","234.40"
"AU9999","2009-10-14","234.30"
"PT9995","2009-10-14","312.00"
"AU(T+D)","2009-10-15","232.16"
"AU(T+N1)","2009-10-15","233.00"
"AU(T+N2)","2009-10-15","232.30"
"AU100G","2009-10-15","232.40"
"AU9995","2009-10-15","232.28"
"AU9999","2009-10-15","231.97"
"PT9995","2009-10-15","310.50"
"AU(T+D)","2009-10-16","230.49"
"AU(T+N1)","2009-10-16","230.30"
"AU(T+N2)","2009-10-16","230.30"
"AU100G","2009-10-16","230.62"
"AU50G","2009-10-16","232.00"
"AU9995","2009-10-16","230.48"
"AU9999","2009-10-16","230.60"
"PT9995","2009-10-16","306.50"
"AU(T+D)","2009-10-19","231.46"
"AU(T+N1)","2009-10-19","231.60"
"AU(T+N2)","2009-10-19","231.53"
"AU100G","2009-10-19","231.84"
"AU9995","2009-10-19","231.67"
"AU9999","2009-10-19","232.00"
"PT9995","2009-10-19","307.50"
"AU(T+D)","2009-10-20","233.92"
"AU(T+N1)","2009-10-20","234.00"
"AU(T+N2)","2009-10-20","234.00"
